domain	mediabias_proscience	mediabias_questionblesources	mediabias_conspiracy_psydoscience
europereloaded.com	0.0	0.0	1.0
hsionline.com	0.0	0.0	1.0
space.news	0.0	0.0	1.0
ageofautism.com	0.0	0.0	1.0
zerohedge.com	0.0	0.0	1.0
govtslaves.com	0.0	0.0	1.0
disclose.tv	0.0	0.0	1.0
freedomainradio.com	0.0	0.0	1.0
godlikeproductions.com	0.0	0.0	1.0
NeuroNation.com	0.0	0.0	1.0
Science.News	0.0	0.0	1.0
investmentwatchblog.com	0.0	0.0	1.0
Eugenics.News	0.0	0.0	1.0
globalhealingcenter.com	0.0	0.0	1.0
theautomaticearth.com	0.0	0.0	1.0
homevaccineeducationnetwork.com	0.0	0.0	1.0
mindbodygreen.com	0.0	0.0	1.0
brighteon.com	0.0	0.0	1.0
awarenessact.com	0.0	0.0	1.0
autismspeaks.org	0.0	0.0	1.0
coasttocoastam.com	0.0	0.0	1.0
herb.co	0.0	0.0	1.0
vaccinesafety.info	0.0	0.0	1.0
vigilantcitizen.com	0.0	0.0	1.0
beholdisrael.org	0.0	0.0	1.0
lesmoutonsrebelles.com	0.0	0.0	1.0
livestrong.com	0.0	0.0	1.0
sanevax.org	0.0	0.0	1.0
wakingtimes.com	0.0	0.0	1.0
mediafactwatch.com	0.0	0.0	1.0
thoughtcrimeradio.net	0.0	0.0	1.0
godandscience.org	0.0	0.0	1.0
sgtreport.com	0.0	0.0	1.0
jesusdaily.com	0.0	0.0	1.0
gmwatch.org	0.0	0.0	1.0
organicfacts.net	0.0	0.0	1.0
disobedientmedia.com	0.0	0.0	1.0
asia-pacificresearch.com	0.0	0.0	1.0
anonhq.com	0.0	0.0	1.0
dailygrail.com	0.0	0.0	1.0
stream.org	0.0	0.0	1.0
themindunleashed.org	0.0	0.0	1.0
Food.News	0.0	0.0	1.0
vermontindependent.org	0.0	0.0	1.0
littlethings.com	0.0	0.0	1.0
legitgov.org	0.0	0.0	1.0
oye.news	0.0	0.0	1.0
NaturalNewsBlogs.com	0.0	0.0	1.0
