domain	mediabias_leftcenterbias_x	mediabias_leftbias_x	mediabias_rightcenterbias_x	mediabias_rightbias_x	mediabias_leftcenterbias_y	mediabias_leftbias_y	mediabias_rightcenterbias_y	mediabias_rightbias_y
popular.info	0.0	1.0	0.0	0.0				
forward.com					1.0	0.0	0.0	0.0
thelist.com					1.0	0.0	0.0	0.0
finnishnews.fi	0.0	1.0	0.0	0.0				
elpasotimes.com					1.0	0.0	0.0	0.0
earthfirstjournal.org	0.0	1.0	0.0	0.0				
counterpunch.org	0.0	1.0	0.0	0.0				
propublica.org					1.0	0.0	0.0	0.0
virginiamercury.com					1.0	0.0	0.0	0.0
americanpurpose.com					1.0	0.0	0.0	0.0
coloradoan.com					1.0	0.0	0.0	0.0
euobserver.com					1.0	0.0	0.0	0.0
fair.org					1.0	0.0	0.0	0.0
citizensforethics.org					1.0	0.0	0.0	0.0
photographyisnotacrime.com	0.0	1.0	0.0	0.0				
yourblackworld.net	0.0	1.0	0.0	0.0				
news.yahoo.com					1.0	0.0	0.0	0.0
newsweek.com					1.0	0.0	0.0	0.0
caledonenterprise.com					1.0	0.0	0.0	0.0
mercurynews.com					1.0	0.0	0.0	0.0
lasvegassun.com					1.0	0.0	0.0	0.0
dnj.com					1.0	0.0	0.0	0.0
thedailyvox.co.za	0.0	1.0	0.0	0.0				
upworthy.com	0.0	1.0	0.0	0.0				
mediamatters.org	0.0	1.0	0.0	0.0				
rappler.com					1.0	0.0	0.0	0.0
ebar.com	0.0	1.0	0.0	0.0				
armscontrol.org					1.0	0.0	0.0	0.0
spiegel.de					1.0	0.0	0.0	0.0
diply.com					1.0	0.0	0.0	0.0
arte.tv					1.0	0.0	0.0	0.0
bitchmedia.org	0.0	1.0	0.0	0.0				
bangordailynews.com					1.0	0.0	0.0	0.0
aeon.co					1.0	0.0	0.0	0.0
victoriaadvocate.com					1.0	0.0	0.0	0.0
washingtonpost.com					1.0	0.0	0.0	0.0
thelily.com	0.0	1.0	0.0	0.0				
lethbridgeherald.com					1.0	0.0	0.0	0.0
JoeBiden.com	0.0	1.0	0.0	0.0				
stopfake.org					1.0	0.0	0.0	0.0
stpete4peace.org	0.0	1.0	0.0	0.0				
pressprogress.ca	0.0	1.0	0.0	0.0				
deadstate.org	0.0	1.0	0.0	0.0				
consortiumnews.com					1.0	0.0	0.0	0.0
abc11.com					1.0	0.0	0.0	0.0
chicagoreporter.com	0.0	1.0	0.0	0.0				
news.trust.org					1.0	0.0	0.0	0.0
baltimoresun.com					1.0	0.0	0.0	0.0
scoopwhoop.com					1.0	0.0	0.0	0.0
thecanary.co	0.0	1.0	0.0	0.0				
independent.com					1.0	0.0	0.0	0.0
Boston.com					1.0	0.0	0.0	0.0
aceshowbiz.com					1.0	0.0	0.0	0.0
dailysoundandfury.com	0.0	1.0	0.0	0.0				
idahopress.com					1.0	0.0	0.0	0.0
pri.org					1.0	0.0	0.0	0.0
aidc.org.za	0.0	1.0	0.0	0.0				
splcenter.org	0.0	1.0	0.0	0.0				
washingtonsources.org	0.0	1.0	0.0	0.0				
kuow.org					1.0	0.0	0.0	0.0
liberalamerica.life	0.0	1.0	0.0	0.0				
newyork.cbslocal.com					1.0	0.0	0.0	0.0
codepink.org	0.0	1.0	0.0	0.0				
middleeasteye.net					1.0	0.0	0.0	0.0
ecfr.eu					1.0	0.0	0.0	0.0
cbc.ca					1.0	0.0	0.0	0.0
mashable.com	0.0	1.0	0.0	0.0				
blackmainstreet.net	0.0	1.0	0.0	0.0				
yaleglobal.yale.edu					1.0	0.0	0.0	0.0
kotaku.com					1.0	0.0	0.0	0.0
gadsdentimes.com					1.0	0.0	0.0	0.0
canadafactcheck.ca	0.0	1.0	0.0	0.0				
nbcnewyork.com					1.0	0.0	0.0	0.0
iflscience.com					1.0	0.0	0.0	0.0
queerty.com	0.0	1.0	0.0	0.0				
globalvoices.org	0.0	1.0	0.0	0.0				
moonofalabama.org	0.0	1.0	0.0	0.0				
kqed.org					1.0	0.0	0.0	0.0
emerging-europe.org					1.0	0.0	0.0	0.0
healthyway.com					1.0	0.0	0.0	0.0
coed.com					1.0	0.0	0.0	0.0
vanityfair.com	0.0	1.0	0.0	0.0				
registerguard.com					1.0	0.0	0.0	0.0
metro.co.uk					1.0	0.0	0.0	0.0
austindailyherald.com					1.0	0.0	0.0	0.0
act.tv	0.0	1.0	0.0	0.0				
rabble.ca	0.0	1.0	0.0	0.0				
progressivefrontier.com	0.0	1.0	0.0	0.0				
mg.co.za	0.0	1.0	0.0	0.0				
stuff.co.nz					1.0	0.0	0.0	0.0
jacksonfreepress.com					1.0	0.0	0.0	0.0
onlineathens.com					1.0	0.0	0.0	0.0
chicago.suntimes.com					1.0	0.0	0.0	0.0
westernmassnews.com					1.0	0.0	0.0	0.0
constitutionproject.org					1.0	0.0	0.0	0.0
insideclimatenews.org					1.0	0.0	0.0	0.0
viraltitle.com	0.0	1.0	0.0	0.0				
inthesetimes.com	0.0	1.0	0.0	0.0				
americanindependent.com	0.0	1.0	0.0	0.0				
sbs.com.au					1.0	0.0	0.0	0.0
omplex.com					1.0	0.0	0.0	0.0
bradford-delong.com	0.0	1.0	0.0	0.0				
milwaukeeindependent.org	0.0	1.0	0.0	0.0				
www.abc.net.au					1.0	0.0	0.0	0.0
timesunion.com					1.0	0.0	0.0	0.0
worldpress.org					1.0	0.0	0.0	0.0
nbcphiladelphia.com					1.0	0.0	0.0	0.0
democratandchronicle.com					1.0	0.0	0.0	0.0
freedomnews.org.uk	0.0	1.0	0.0	0.0				
capitalgazette.com					1.0	0.0	0.0	0.0
modernliberals.com	0.0	1.0	0.0	0.0				
elle.com	0.0	1.0	0.0	0.0				
worldsocialism.org	0.0	1.0	0.0	0.0				
thisisthezerohour.com	0.0	1.0	0.0	0.0				
foodnavigator.com					1.0	0.0	0.0	0.0
gritpost.com	0.0	1.0	0.0	0.0				
newpol.org	0.0	1.0	0.0	0.0				
pontiacdailyleader.com					1.0	0.0	0.0	0.0
lehighvalleylive.com					1.0	0.0	0.0	0.0
thefulcrum.us					1.0	0.0	0.0	0.0
nola.com					1.0	0.0	0.0	0.0
Novinky.cz					1.0	0.0	0.0	0.0
electronicintifada.net	0.0	1.0	0.0	0.0				
lgbtqnation.com	0.0	1.0	0.0	0.0				
latest.com	0.0	1.0	0.0	0.0				
adl.org					1.0	0.0	0.0	0.0
bustle.com					1.0	0.0	0.0	0.0
psmag.com					1.0	0.0	0.0	0.0
c4ads.org					1.0	0.0	0.0	0.0
c4ss.org	0.0	1.0	0.0	0.0				
commonwealmagazine.org					1.0	0.0	0.0	0.0
splinternews.com	0.0	1.0	0.0	0.0				
typemediacenter.org					1.0	0.0	0.0	0.0
ocweekly.com					1.0	0.0	0.0	0.0
affinitymagazine.us					1.0	0.0	0.0	0.0
seattletimes.com					1.0	0.0	0.0	0.0
transequality.org					1.0	0.0	0.0	0.0
cambridgetimes.ca					1.0	0.0	0.0	0.0
democracychronicles.org	0.0	1.0	0.0	0.0				
publico.es					1.0	0.0	0.0	0.0
diversityinc.com					1.0	0.0	0.0	0.0
worldcrunch.com					1.0	0.0	0.0	0.0
this.org	0.0	1.0	0.0	0.0				
Accountable.US	0.0	1.0	0.0	0.0				
glamour.com					1.0	0.0	0.0	0.0
americanprogress.org	0.0	1.0	0.0	0.0				
theweek.co.uk					1.0	0.0	0.0	0.0
newstimes.com					1.0	0.0	0.0	0.0
iowacapitaldispatch.com	0.0	1.0	0.0	0.0				
evonomics.com	0.0	1.0	0.0	0.0				
readersupportednews.org	0.0	1.0	0.0	0.0				
centerforpolitics.org					1.0	0.0	0.0	0.0
occupy.com	0.0	1.0	0.0	0.0				
heavy.com					1.0	0.0	0.0	0.0
tmnews.com					1.0	0.0	0.0	0.0
theday.com					1.0	0.0	0.0	0.0
humanium.org					1.0	0.0	0.0	0.0
refinery29.com	0.0	1.0	0.0	0.0				
taxpolicycenter.org					1.0	0.0	0.0	0.0
towleroad.com	0.0	1.0	0.0	0.0				
norwichbulletin.com					1.0	0.0	0.0	0.0
nytimes.com					1.0	0.0	0.0	0.0
mcdonoughvoice.com					1.0	0.0	0.0	0.0
salon.com	0.0	1.0	0.0	0.0				
dutchreview.com					1.0	0.0	0.0	0.0
vice.com					1.0	0.0	0.0	0.0
infobae.com					1.0	0.0	0.0	0.0
religionnews.com					1.0	0.0	0.0	0.0
enewscourier.com					1.0	0.0	0.0	0.0
theodysseyonline.com					1.0	0.0	0.0	0.0
lohud.com					1.0	0.0	0.0	0.0
colorlines.com	0.0	1.0	0.0	0.0				
leftvoice.org	0.0	1.0	0.0	0.0				
nymag.com	0.0	1.0	0.0	0.0				
mcclatchydc.com					1.0	0.0	0.0	0.0
Censor.NET					1.0	0.0	0.0	0.0
thegrio.com	0.0	1.0	0.0	0.0				
thecut.com	0.0	1.0	0.0	0.0				
cnas.org					1.0	0.0	0.0	0.0
morningbrew.com					1.0	0.0	0.0	0.0
604now.com					1.0	0.0	0.0	0.0
globaltimes.cn					1.0	0.0	0.0	0.0
mississippitoday.org					1.0	0.0	0.0	0.0
gunviolencearchive.org					1.0	0.0	0.0	0.0
juancole.com	0.0	1.0	0.0	0.0				
bellingcat.com					1.0	0.0	0.0	0.0
iowastartingline.com	0.0	1.0	0.0	0.0				
rationalwiki.org					1.0	0.0	0.0	0.0
thedailystar.com					1.0	0.0	0.0	0.0
theatlantic.com					1.0	0.0	0.0	0.0
lawandcrime.com					1.0	0.0	0.0	0.0
Brut.Media	0.0	1.0	0.0	0.0				
berkeleyside.com					1.0	0.0	0.0	0.0
washingtonpress.com	0.0	1.0	0.0	0.0				
washingtonbabylon.com	0.0	1.0	0.0	0.0				
dominionpost.com					1.0	0.0	0.0	0.0
copblock.org	0.0	1.0	0.0	0.0				
newmoderate.com					1.0	0.0	0.0	0.0
birminghammail.co.uk					1.0	0.0	0.0	0.0
theimproper.com	0.0	1.0	0.0	0.0				
newsobserver.com					1.0	0.0	0.0	0.0
sourcepolitics.com	0.0	1.0	0.0	0.0				
libcom.org	0.0	1.0	0.0	0.0				
channel4.com					1.0	0.0	0.0	0.0
nbcnews.com					1.0	0.0	0.0	0.0
aclu.org					1.0	0.0	0.0	0.0
thelocal.no					1.0	0.0	0.0	0.0
bostonreview.net	0.0	1.0	0.0	0.0				
highline.huffingtonpost.com					1.0	0.0	0.0	0.0
swissinfo.ch					1.0	0.0	0.0	0.0
businessinsider.com					1.0	0.0	0.0	0.0
