domain	mediabias_leftcenterbias_x	mediabias_leftbias_x	mediabias_rightcenterbias_x	mediabias_rightbias_x	mediabias_leftcenterbias_y	mediabias_leftbias_y	mediabias_rightcenterbias_y	mediabias_rightbias_y
armscontrol.org					1.0	0.0	0.0	0.0
omplex.com					1.0	0.0	0.0	0.0
mainichi.jp					1.0	0.0	0.0	0.0
tcf.org					1.0	0.0	0.0	0.0
yaleglobal.yale.edu					1.0	0.0	0.0	0.0
rationalwiki.org					1.0	0.0	0.0	0.0
pal-item.com					1.0	0.0	0.0	0.0
highline.huffingtonpost.com					1.0	0.0	0.0	0.0
yankeeinstitute.org	0.0	0.0	1.0	0.0				
dallasnews.com	0.0	0.0	1.0	0.0				
sbs.com.au					1.0	0.0	0.0	0.0
myfox28columbus.com	0.0	0.0	1.0	0.0				
bing.com					1.0	0.0	0.0	0.0
lemonde.fr					1.0	0.0	0.0	0.0
mexiconewsdaily.com					1.0	0.0	0.0	0.0
honestreporting.com	0.0	0.0	1.0	0.0				
abcnews.go.com					1.0	0.0	0.0	0.0
cbslocal.com					1.0	0.0	0.0	0.0
thehilltalk.com					1.0	0.0	0.0	0.0
wset.com	0.0	0.0	1.0	0.0				
nacion.com	0.0	0.0	1.0	0.0				
hcn.org					1.0	0.0	0.0	0.0
thelibertarianrepublic.com	0.0	0.0	1.0	0.0				
providencejournal.com					1.0	0.0	0.0	0.0
rfa.org					1.0	0.0	0.0	0.0
reviewjournal.com	0.0	0.0	1.0	0.0				
dailyherald.com	0.0	0.0	1.0	0.0				
parrysound.com					1.0	0.0	0.0	0.0
harpers.org					1.0	0.0	0.0	0.0
rightweb.irc-online.org					1.0	0.0	0.0	0.0
investortimes.com	0.0	0.0	1.0	0.0				
hk.appledaily.com	0.0	0.0	1.0	0.0				
ktul.com	0.0	0.0	1.0	0.0				
ncnewsonline.com					1.0	0.0	0.0	0.0
deadline.com					1.0	0.0	0.0	0.0
news-herald.com	0.0	0.0	1.0	0.0				
thebulwark.com	0.0	0.0	1.0	0.0				
dispatch.com					1.0	0.0	0.0	0.0
galvnews.com	0.0	0.0	1.0	0.0				
amestrib.com					1.0	0.0	0.0	0.0
abc11.com					1.0	0.0	0.0	0.0
Watchdog.com	0.0	0.0	1.0	0.0				
ndtv.com					1.0	0.0	0.0	0.0
niskanencenter.org					1.0	0.0	0.0	0.0
foodnavigator.com					1.0	0.0	0.0	0.0
mlive.com	0.0	0.0	1.0	0.0				
newstimes.com					1.0	0.0	0.0	0.0
newsday.com					1.0	0.0	0.0	0.0
